gene_id,nickname,accession,source,substrate,timepoint_hours,average_intensity,stddev_intensity,sample_count
AR00019,InconsequentialMedium,AR241010_154,GRASP_241010,BHET12.5,48,0.005779412109404802,0.020673548276897685,8
AR00019,InconsequentialMedium,AR241010_154,GRASP_241010,BHET12.5,72,0.01637745095649734,0.017814208791747933,8
AR00019,InconsequentialMedium,AR241010_154,GRASP_241010,BHET12.5,96,0.016365196323022246,0.023395268849913213,8
AR00019,InconsequentialMedium,AR241010_154,GRASP_241010,BHET12.5,120,0.023901960463263094,0.025397408807177578,8
AR00019,InconsequentialMedium,AR241010_154,GRASP_241010,BHET25,8,0.010431372735183686,0.004080854760783636,8
AR00019,InconsequentialMedium,AR241010_154,GRASP_241010,BHET25,24,-0.006720587817653723,0.009364820540516669,8
AR00019,InconsequentialMedium,AR241010_154,GRASP_241010,BHET25,48,-0.0059142117152077844,0.007597096017076036,8
AR00019,InconsequentialMedium,AR241010_154,GRASP_241010,BHET25,72,0.0046519608004018664,0.02337509607303312,8
AR00019,InconsequentialMedium,AR241010_154,GRASP_241010,BHET25,96,0.012808823346858844,0.03111273259165557,8
AR00019,InconsequentialMedium,AR241010_154,GRASP_241010,BHET25,120,0.009838235040660948,0.029760881895998157,8
AR00020,Short-termSimple,AR241010_169,GRASP_241010,BHET12.5,8,-0.004879902116954327,0.01759649383105395,16
AR00020,Short-termSimple,AR241010_169,GRASP_241010,BHET12.5,24,0.016234068491030484,0.03841191473478997,16
